ensg_id	gene_symbol	pmtl	version
ENSG00000272141	ENSG00000272141	NA	NA
ENSG00000205231	TTLL10-AS1	NA	NA
ENSG00000162571	TTLL10	NA	NA
ENSG00000186891	TNFRSF18	NA	NA
ENSG00000186827	TNFRSF4	Relevant Molecular Target	PMTL version 3.1
ENSG00000078808	SDF4	NA	NA
ENSG00000176022	B3GALT6	NA	NA
ENSG00000184163	C1QTNF12	NA	NA
ENSG00000260179	ENSG00000260179	NA	NA
ENSG00000160087	UBE2J2	NA	NA
ENSG00000230415	LINC01786	NA	NA
ENSG00000162572	SCNN1D	NA	NA
ENSG00000131584	ACAP3	NA	NA
ENSG00000278073	MIR6726	NA	NA
ENSG00000169972	PUSL1	NA	NA
ENSG00000127054	INTS11	NA	NA
ENSG00000283712	MIR6727	NA	NA
ENSG00000240731	ENSG00000240731	NA	NA
ENSG00000224051	CPTP	NA	NA
ENSG00000169962	TAS1R3	NA	NA
ENSG00000107404	DVL1	NA	NA
ENSG00000284372	MIR6808	NA	NA
ENSG00000162576	MXRA8	NA	NA
ENSG00000175756	AURKAIP1	NA	NA
ENSG00000223663	NDUFB4P8	NA	NA
ENSG00000221978	CCNL2	NA	NA
ENSG00000224870	MRPL20-AS1	NA	NA
ENSG00000242485	MRPL20	NA	NA
ENSG00000264293	RN7SL657P	NA	NA
ENSG00000272455	MRPL20-DT	NA	NA
ENSG00000235098	ANKRD65	NA	NA
ENSG00000225905	ENSG00000225905	NA	NA
ENSG00000205116	TMEM88B	NA	NA
ENSG00000225285	LINC01770	NA	NA
ENSG00000179403	VWA1	NA	NA
ENSG00000215915	ATAD3C	NA	NA
ENSG00000160072	ATAD3B	NA	NA
ENSG00000284740	ENSG00000284740	NA	NA
ENSG00000197785	ATAD3A	NA	NA
ENSG00000205090	TMEM240	NA	NA
ENSG00000160075	SSU72	NA	NA
ENSG00000215014	ENSG00000215014	NA	NA
ENSG00000274481	ENSG00000274481	NA	NA
ENSG00000228594	FNDC10	NA	NA
ENSG00000286989	ENSG00000286989	NA	NA
ENSG00000272106	ENSG00000272106	NA	NA
ENSG00000197530	MIB2	NA	NA
ENSG00000189409	MMP23B	NA	NA
ENSG00000248333	CDK11B	NA	NA
ENSG00000272004	ENSG00000272004	NA	NA
ENSG00000189339	SLC35E2B	NA	NA
ENSG00000269737	ENSG00000269737	NA	NA
ENSG00000215914	MMP23A	NA	NA
ENSG00000008128	CDK11A	NA	NA
ENSG00000268575	ENSG00000268575	NA	NA
ENSG00000227775	ENSG00000227775	NA	NA
ENSG00000215790	SLC35E2A	NA	NA
ENSG00000008130	NADK	NA	NA
ENSG00000078369	GNB1	NA	NA
ENSG00000231050	ENSG00000231050	NA	NA
ENSG00000169885	CALML6	NA	NA
ENSG00000178821	TMEM52	NA	NA
ENSG00000142609	CFAP74	NA	NA
ENSG00000233542	ENSG00000233542	NA	NA
ENSG00000187730	GABRD	NA	NA
ENSG00000226969	ENSG00000226969	NA	NA
ENSG00000067606	PRKCZ	NA	NA
ENSG00000271806	ENSG00000271806	NA	NA
ENSG00000182873	PRKCZ-AS1	NA	NA
ENSG00000162585	FAAP20	NA	NA
ENSG00000234396	ENSG00000234396	NA	NA
ENSG00000157933	SKI	NA	NA
ENSG00000287356	ENSG00000287356	NA	NA
ENSG00000116151	MORN1	NA	NA
ENSG00000272161	ENSG00000272161	NA	NA
ENSG00000269896	ENSG00000269896	NA	NA
ENSG00000272420	ENSG00000272420	NA	NA
ENSG00000157916	RER1	NA	NA
ENSG00000157911	PEX10	NA	NA
ENSG00000149527	PLCH2	NA	NA
ENSG00000224387	ENSG00000224387	NA	NA
ENSG00000229393	ENSG00000229393	NA	NA
ENSG00000157881	PANK4	NA	NA
ENSG00000197921	HES5	NA	NA
ENSG00000272449	ENSG00000272449	NA	NA
ENSG00000238164	TNFRSF14-AS1	NA	NA
ENSG00000157873	TNFRSF14	NA	NA
ENSG00000225931	ENSG00000225931	NA	NA
ENSG00000228037	ENSG00000228037	NA	NA
ENSG00000289610	ENSG00000289610	NA	NA
ENSG00000157870	PRXL2B	NA	NA
ENSG00000142606	MMEL1	NA	NA
ENSG00000237058	MMEL1-AS1	NA	NA
ENSG00000215912	TTC34	NA	NA
ENSG00000285945	ENSG00000285945	NA	NA
ENSG00000283259	ENSG00000283259	NA	NA
ENSG00000233234	ENSG00000233234	NA	NA
ENSG00000287396	ENSG00000287396	NA	NA
ENSG00000231630	ENSG00000231630	NA	NA
ENSG00000284745	ENSG00000284745	NA	NA
ENSG00000169717	ACTRT2	NA	NA
ENSG00000177133	PRDM16-DT	NA	NA
ENSG00000142611	PRDM16	NA	NA
ENSG00000283572	MIR4251	NA	NA
ENSG00000226286	ENSG00000226286	NA	NA
ENSG00000279839	ENSG00000279839	NA	NA
ENSG00000272235	ENSG00000272235	NA	NA
ENSG00000287828	ENSG00000287828	NA	NA
ENSG00000286518	ENSG00000286518	NA	NA
ENSG00000130762	ARHGEF16	NA	NA
ENSG00000272088	ENSG00000272088	NA	NA
ENSG00000162591	MEGF6	NA	NA
ENSG00000207776	MIR551A	NA	NA
ENSG00000238260	ENSG00000238260	NA	NA
ENSG00000158109	TPRG1L	NA	NA
ENSG00000116213	WRAP73	NA	NA
ENSG00000078900	TP73	NA	NA
ENSG00000227589	TP73-AS3	NA	NA
ENSG00000235131	TP73-AS2	NA	NA
ENSG00000227372	TP73-AS1	NA	NA
ENSG00000276189	ENSG00000276189	NA	NA
ENSG00000162592	CCDC27	NA	NA
ENSG00000235169	SMIM1	NA	NA
ENSG00000130764	LRRC47	NA	NA
ENSG00000266075	RN7SL574P	NA	NA
ENSG00000272153	ENSG00000272153	NA	NA
ENSG00000116198	CEP104	NA	NA
ENSG00000169598	DFFB	NA	NA
ENSG00000198912	C1orf174	NA	NA
ENSG00000236423	LINC01134	NA	NA
ENSG00000233304	LINC01346	NA	NA
ENSG00000226374	LINC01345	NA	NA
ENSG00000284668	LINC02780	NA	NA
ENSG00000284703	ENSG00000284703	NA	NA
ENSG00000229280	EEF1DP6	NA	NA
ENSG00000235054	LINC01777	NA	NA
ENSG00000284694	ENSG00000284694	NA	NA
ENSG00000227169	ENSG00000227169	NA	NA
ENSG00000232596	LINC01646	NA	NA
ENSG00000196581	AJAP1	NA	NA
ENSG00000287586	ENSG00000287586	NA	NA
ENSG00000284739	ENSG00000284739	NA	NA
ENSG00000284674	LINC02781	NA	NA
ENSG00000231510	LINC02782	NA	NA
ENSG00000284616	ENSG00000284616	NA	NA
ENSG00000284692	ENSG00000284692	NA	NA
ENSG00000284666	ENSG00000284666	NA	NA
ENSG00000260972	ENSG00000260972	NA	NA
ENSG00000283356	ENSG00000283356	NA	NA
ENSG00000236948	ENSG00000236948	NA	NA
ENSG00000264341	ENSG00000264341	NA	NA
ENSG00000264101	MIR4689	NA	NA
ENSG00000131697	NPHP4	NA	NA
ENSG00000069424	KCNAB2	NA	NA
ENSG00000116254	CHD5	NA	NA
ENSG00000285629	ENSG00000285629	NA	NA
ENSG00000116251	RPL22	NA	NA
ENSG00000226944	RNF207-AS1	NA	NA
ENSG00000158286	RNF207	NA	NA
ENSG00000116237	ICMT	NA	NA
ENSG00000225077	LINC00337	NA	NA
ENSG00000173673	HES3	NA	NA
ENSG00000158292	GPR153	NA	NA
ENSG00000097021	ACOT7	NA	NA
ENSG00000271746	ENSG00000271746	NA	NA
ENSG00000069812	HES2	NA	NA
ENSG00000187017	ESPN	NA	NA
ENSG00000265392	MIR4252	NA	NA
ENSG00000231868	ENSG00000231868	NA	NA
ENSG00000215788	TNFRSF25	NA	NA
ENSG00000171680	PLEKHG5	NA	NA
ENSG00000162408	NOL9	NA	NA
ENSG00000253022	RNU6-731P	NA	NA
ENSG00000229519	ENSG00000229519	NA	NA
ENSG00000173662	TAS1R1	NA	NA
ENSG00000204859	ZBTB48	NA	NA
ENSG00000162413	KLHL21	NA	NA
ENSG00000116273	PHF13	NA	NA
ENSG00000041988	THAP3	NA	NA
ENSG00000007923	DNAJC11	NA	NA
ENSG00000228750	LINC01672	NA	NA
ENSG00000284744	ENSG00000284744	NA	NA
ENSG00000237436	CAMTA1-DT	NA	NA
ENSG00000171735	CAMTA1	NA	NA
ENSG00000227950	ENSG00000227950	NA	NA
ENSG00000237365	ENSG00000237365	NA	NA
ENSG00000207056	RNU1-8P	NA	NA
ENSG00000237402	CAMTA1-IT1	NA	NA
ENSG00000237728	CAMTA1-AS2	NA	NA
ENSG00000225126	CAMTA1-AS1	NA	NA
ENSG00000270171	ENSG00000270171	NA	NA
ENSG00000270035	ENSG00000270035	NA	NA
ENSG00000269978	ENSG00000269978	NA	NA
ENSG00000049245	VAMP3	NA	NA
ENSG00000269925	ENSG00000269925	NA	NA
ENSG00000049246	PER3	NA	NA
ENSG00000236266	ENSG00000236266	NA	NA
ENSG00000049247	UTS2	NA	NA
ENSG00000049249	TNFRSF9	NA	NA
ENSG00000270330	ENSG00000270330	NA	NA
ENSG00000116288	PARK7	NA	NA
ENSG00000200344	Y_RNA	NA	NA
ENSG00000284747	ENSG00000284747	NA	NA
ENSG00000284716	ENSG00000284716	NA	NA
ENSG00000116285	ERRFI1	NA	NA
ENSG00000238290	ENSG00000238290	NA	NA
ENSG00000232848	ENSG00000232848	NA	NA
ENSG00000229305	ENSG00000229305	NA	NA
ENSG00000288816	ENSG00000288816	NA	NA
ENSG00000227634	LINC01714	NA	NA
ENSG00000200975	RNU1-7P	NA	NA
ENSG00000233645	ENSG00000233645	NA	NA
ENSG00000251977	RNU6-991P	NA	NA
ENSG00000162426	SLC45A1	NA	NA
ENSG00000252254	Y_RNA	NA	NA
ENSG00000142599	RERE	NA	NA
ENSG00000232912	RERE-AS1	NA	NA
ENSG00000221083	ENSG00000221083	NA	NA
ENSG00000270282	ENSG00000270282	NA	NA
ENSG00000234619	RPL7P11	NA	NA
ENSG00000224315	RPL7P7	NA	NA
ENSG00000222511	Y_RNA	NA	NA
ENSG00000226545	ENSG00000226545	NA	NA
ENSG00000228423	ENSG00000228423	NA	NA
ENSG00000229716	RPL23AP19	NA	NA
ENSG00000074800	ENO1	NA	NA
ENSG00000274258	MIR6728	NA	NA
ENSG00000230679	ENO1-AS1	NA	NA
ENSG00000201725	RNU6-304P	NA	NA
ENSG00000238249	HMGN2P17	NA	NA
ENSG00000232208	ENSG00000232208	NA	NA
ENSG00000232663	ENSG00000232663	NA	NA
ENSG00000131686	CA6	NA	NA
ENSG00000265141	RN7SL451P	NA	NA
ENSG00000197241	SLC2A7	NA	NA
ENSG00000142583	SLC2A5	NA	NA
ENSG00000252404	ENSG00000252404	NA	NA
ENSG00000180758	GPR157	NA	NA
ENSG00000228526	MIR34AHG	NA	NA
ENSG00000284357	MIR34A	NA	NA
ENSG00000234546	LNCTAM34A	NA	NA
ENSG00000049239	H6PD	NA	NA
ENSG00000171621	SPSB1	NA	NA
ENSG00000284652	ENSG00000284652	NA	NA
ENSG00000284693	LINC02606	NA	NA
ENSG00000252956	RNA5SP40	NA	NA
ENSG00000235263	ENSG00000235263	NA	NA
ENSG00000171612	SLC25A33	NA	NA
ENSG00000231181	ENSG00000231181	NA	NA
ENSG00000188807	TMEM201	NA	NA
ENSG00000171608	PIK3CD	Relevant Molecular Target	PMTL version 3.1
ENSG00000179840	PIK3CD-AS1	NA	NA
ENSG00000233268	ENSG00000233268	NA	NA
ENSG00000231789	PIK3CD-AS2	NA	NA
ENSG00000171603	CLSTN1	NA	NA
ENSG00000271264	MZT1P1	NA	NA
ENSG00000280113	ENSG00000280113	NA	NA
ENSG00000178585	CTNNBIP1	NA	NA
ENSG00000223989	ENSG00000223989	NA	NA
ENSG00000285701	ENSG00000285701	NA	NA
ENSG00000162441	LZIC	NA	NA
ENSG00000228150	ENSG00000228150	NA	NA
ENSG00000173614	NMNAT1	NA	NA
ENSG00000202415	RN7SKP269	NA	NA
ENSG00000283611	TMEM274P	NA	NA
ENSG00000265521	MIR5697	NA	NA
ENSG00000241326	ENSG00000241326	NA	NA
ENSG00000162444	RBP7	NA	NA
ENSG00000130939	UBE4B	NA	NA
ENSG00000224340	ENSG00000224340	NA	NA
ENSG00000233623	PGAM1P11	NA	NA
ENSG00000201746	RNU6-828P	NA	NA
ENSG00000054523	KIF1B	NA	NA
ENSG00000264881	ENSG00000264881	NA	NA
ENSG00000199562	RNU6-37P	NA	NA
ENSG00000264501	RN7SL731P	NA	NA
ENSG00000284735	ENSG00000284735	NA	NA
ENSG00000284642	ENSG00000284642	NA	NA
ENSG00000142657	PGD	NA	NA
ENSG00000271989	ENSG00000271989	NA	NA
ENSG00000251503	CENPS-CORT	NA	NA
ENSG00000175279	CENPS	NA	NA
ENSG00000241563	CORT	NA	NA
ENSG00000160049	DFFA	NA	NA
ENSG00000203469	ENSG00000203469	NA	NA
ENSG00000142655	PEX14	NA	NA
ENSG00000287727	ENSG00000287727	NA	NA
ENSG00000243267	RN7SL614P	NA	NA
ENSG00000130940	CASZ1	NA	NA
ENSG00000272078	ENSG00000272078	NA	NA
ENSG00000225158	HSPE1P24	NA	NA
ENSG00000175262	C1orf127	NA	NA
ENSG00000215785	CFL1P6	NA	NA
ENSG00000120948	TARDBP	NA	NA
ENSG00000009724	MASP2	NA	NA
ENSG00000116649	SRM	NA	NA
ENSG00000171824	EXOSC10	NA	NA
ENSG00000226849	ENSG00000226849	NA	NA
ENSG00000230337	EXOSC10-AS1	NA	NA
ENSG00000198793	MTOR	Relevant Molecular Target	PMTL version 3.1
ENSG00000225602	MTOR-AS1	NA	NA
ENSG00000253086	RNU6-537P	NA	NA
ENSG00000171819	ANGPTL7	NA	NA
ENSG00000207451	RNU6-291P	NA	NA
ENSG00000238173	RPL39P6	NA	NA
ENSG00000120942	UBIAD1	NA	NA
ENSG00000238199	UBE2V2P3	NA	NA
ENSG00000284646	ENSG00000284646	NA	NA
ENSG00000224338	MTCYBP45	NA	NA
ENSG00000204624	DISP3	NA	NA
ENSG00000285833	ENSG00000285833	NA	NA
ENSG00000235643	LINC01647	NA	NA
ENSG00000284708	ENSG00000284708	NA	NA
ENSG00000116661	FBXO2	NA	NA
ENSG00000132879	FBXO44	NA	NA
ENSG00000116663	FBXO6	NA	NA
ENSG00000116670	MAD2L2	NA	NA
ENSG00000162490	DRAXIN	NA	NA
ENSG00000177674	AGTRAP	NA	NA
ENSG00000215910	C1orf167	NA	NA
ENSG00000177553	C1orf167-AS1	NA	NA
ENSG00000177000	MTHFR	NA	NA
ENSG00000011021	CLCN6	NA	NA
ENSG00000276470	ENSG00000276470	NA	NA
ENSG00000278852	ENSG00000278852	NA	NA
ENSG00000175206	NPPA	NA	NA
ENSG00000275915	ENSG00000275915	NA	NA
ENSG00000120937	NPPB	NA	NA
ENSG00000224904	SBF1P2	NA	NA
ENSG00000285646	ENSG00000285646	NA	NA
ENSG00000199347	RNU5E-1	NA	NA
ENSG00000201801	RNU5E-4P	NA	NA
ENSG00000116685	KIAA2013	NA	NA
ENSG00000083444	PLOD1	NA	NA
ENSG00000287384	ENSG00000287384	NA	NA
ENSG00000116688	MFN2	NA	NA
ENSG00000270914	ENSG00000270914	NA	NA
ENSG00000116691	MIIP	NA	NA
ENSG00000202461	Y_RNA	NA	NA
ENSG00000276869	MIR6729	NA	NA
ENSG00000243539	RN7SL649P	NA	NA
ENSG00000120949	TNFRSF8	Relevant Molecular Target	PMTL version 3.1
ENSG00000201135	RNU6-777P	NA	NA
ENSG00000227875	RPL23AP89	NA	NA
ENSG00000285604	ENSG00000285604	NA	NA
ENSG00000283789	MIR7846	NA	NA
ENSG00000028137	TNFRSF1B	NA	NA
ENSG00000263676	MIR4632	NA	NA
ENSG00000225196	RPL10P17	NA	NA
ENSG00000252969	SNORA70	NA	NA
ENSG00000048707	VPS13D	NA	NA
ENSG00000239149	SNORA59A	NA	NA
ENSG00000229484	LINC02766	NA	NA
ENSG00000162496	DHRS3	NA	NA
ENSG00000221340	RNU6ATAC18P	NA	NA
ENSG00000276830	MIR6730	NA	NA
ENSG00000288927	ENSG00000288927	NA	NA
ENSG00000272482	ENSG00000272482	NA	NA
ENSG00000204518	AADACL4	NA	NA
ENSG00000226166	ENSG00000226166	NA	NA
ENSG00000188984	AADACL3	NA	NA
ENSG00000157330	C1orf158	NA	NA
ENSG00000116726	PRAMEF12	NA	NA
ENSG00000116721	PRAMEF1	NA	NA
ENSG00000228338	LINC01784	NA	NA
ENSG00000239810	PRAMEF11	NA	NA
ENSG00000231103	PRAMEF30P	NA	NA
ENSG00000179172	HNRNPCL1	NA	NA
ENSG00000120952	PRAMEF2	NA	NA
ENSG00000243073	PRAMEF4	NA	NA
ENSG00000187545	PRAMEF10	NA	NA
ENSG00000204510	PRAMEF7	NA	NA
ENSG00000207434	RNU6-1072P	NA	NA
ENSG00000234064	PRAMEF29P	NA	NA
ENSG00000232423	PRAMEF6	NA	NA
ENSG00000274178	PRAMEF28P	NA	NA
ENSG00000274764	PRAMEF27	NA	NA
ENSG00000277058	HNRNPCL3	NA	NA
ENSG00000229571	PRAMEF25	NA	NA
ENSG00000277862	PRAMEF34P	NA	NA
ENSG00000236179	PRAMEF35P	NA	NA
ENSG00000275774	HNRNPCL2	NA	NA
ENSG00000229978	PRAMEF36P	NA	NA
ENSG00000233336	ENSG00000233336	NA	NA
ENSG00000280267	PRAMEF26	NA	NA
ENSG00000179412	HNRNPCL4	NA	NA
ENSG00000204505	PRAMEF9	NA	NA
ENSG00000279169	PRAMEF13	NA	NA
ENSG00000279804	PRAMEF18	NA	NA
ENSG00000250894	PRAMEF31P	NA	NA
ENSG00000270601	PRAMEF5	NA	NA
ENSG00000231219	PRAMEF32P	NA	NA
ENSG00000207511	RNU6-771P	NA	NA
ENSG00000182330	PRAMEF8	NA	NA
ENSG00000237700	PRAMEF33	NA	NA
ENSG00000204501	PRAMEF15	NA	NA
ENSG00000228229	ENSG00000228229	NA	NA
ENSG00000204481	PRAMEF14	NA	NA
ENSG00000204480	PRAMEF19	NA	NA
ENSG00000204479	PRAMEF17	NA	NA
ENSG00000204478	PRAMEF20	NA	NA
ENSG00000162494	LRRC38	NA	NA
ENSG00000259961	ENSG00000259961	NA	NA
ENSG00000215909	BRWD1P1	NA	NA
ENSG00000162493	PDPN	NA	NA
ENSG00000222952	RNA5SP41	NA	NA
ENSG00000237445	ENSG00000237445	NA	NA
ENSG00000253085	ENSG00000253085	NA	NA
ENSG00000116731	PRDM2	NA	NA
ENSG00000289380	ENSG00000289380	NA	NA
ENSG00000189337	KAZN	NA	NA
ENSG00000252151	RNU6-1265P	NA	NA
ENSG00000231606	ENSG00000231606	NA	NA
ENSG00000234593	KAZN-AS1	NA	NA
ENSG00000235829	TBCAP2	NA	NA
ENSG00000287756	ENSG00000287756	NA	NA
ENSG00000175147	TMEM51-AS1	NA	NA
ENSG00000171729	TMEM51	NA	NA
ENSG00000204464	TMEM51-AS2	NA	NA
ENSG00000215720	MFFP1	NA	NA
ENSG00000278480	ZBTB2P1	NA	NA
ENSG00000142621	FHAD1	NA	NA
ENSG00000233485	FHAD1-AS1	NA	NA
ENSG00000236045	ENSG00000236045	NA	NA
ENSG00000228140	ENSG00000228140	NA	NA
ENSG00000142634	EFHD2	NA	NA
ENSG00000162438	CTRC	NA	NA
ENSG00000142615	CELA2A	NA	NA
ENSG00000215704	CELA2B	NA	NA
ENSG00000132906	CASP9	NA	NA
ENSG00000116138	DNAJC16	NA	NA
ENSG00000251866	SCARNA21B	NA	NA
ENSG00000272510	ENSG00000272510	NA	NA
ENSG00000116771	AGMAT	NA	NA
ENSG00000237301	ENSG00000237301	NA	NA
ENSG00000235084	CHCHD2P6	NA	NA
ENSG00000252417	RNU7-179P	NA	NA
ENSG00000236500	CD24P1	NA	NA
ENSG00000197312	DDI2	NA	NA
ENSG00000215695	RSC1A1	NA	NA
ENSG00000271742	ENSG00000271742	NA	NA
ENSG00000116786	PLEKHM2	NA	NA
ENSG00000237938	ENSG00000237938	NA	NA
ENSG00000162461	SLC25A34	NA	NA
ENSG00000224459	SLC25A34-AS1	NA	NA
ENSG00000162460	TMEM82	NA	NA
ENSG00000162458	FBLIM1	NA	NA
ENSG00000224321	RPL12P14	NA	NA
ENSG00000233954	UQCRHL	NA	NA
ENSG00000178715	ENSG00000178715	NA	NA
ENSG00000179743	FLJ37453	NA	NA
ENSG00000065526	SPEN	NA	NA
ENSG00000270620	ENSG00000270620	NA	NA
ENSG00000116809	ZBTB17	Relevant Molecular Target	PMTL version 3.1
ENSG00000234607	ENSG00000234607	NA	NA
ENSG00000231353	ENSG00000231353	NA	NA
ENSG00000275503	ENSG00000275503	NA	NA
ENSG00000224966	TBC1D3P6	NA	NA
ENSG00000183888	SRARP	NA	NA
ENSG00000233078	ENSG00000233078	NA	NA
ENSG00000173641	HSPB7	NA	NA
ENSG00000186510	CLCNKA	NA	NA
ENSG00000232456	ENSG00000232456	NA	NA
ENSG00000184908	CLCNKB	NA	NA
ENSG00000185519	FAM131C	NA	NA
ENSG00000142627	EPHA2	Relevant Molecular Target	PMTL version 3.1
ENSG00000227959	ENSG00000227959	NA	NA
ENSG00000224621	ENSG00000224621	NA	NA
ENSG00000234166	ARHGEF19-AS1	NA	NA
ENSG00000142632	ARHGEF19	NA	NA
ENSG00000237276	ANO7L1	NA	NA
ENSG00000288398	ENSG00000288398	NA	NA
ENSG00000132881	CPLANE2	NA	NA
ENSG00000233929	MT1XP1	NA	NA
ENSG00000037637	FBXO42	NA	NA
ENSG00000055070	SZRD1	NA	NA
ENSG00000226457	RPL22P3	NA	NA
ENSG00000187144	SPATA21	NA	NA
ENSG00000157191	NECAP2	NA	NA
ENSG00000226029	LINC01772	NA	NA
ENSG00000080947	CROCCP3	NA	NA
ENSG00000206652	RNU1-1	NA	NA
ENSG00000261135	ENSG00000261135	NA	NA
ENSG00000285853	ENSG00000285853	NA	NA
ENSG00000224174	ENSG00000224174	NA	NA
ENSG00000233421	LINC01783	NA	NA
ENSG00000277344	RNU1-6P	NA	NA
ENSG00000225710	PDE4DIPP8	NA	NA
ENSG00000219481	NBPF1	NA	NA
ENSG00000271732	ENSG00000271732	NA	NA
ENSG00000215908	CROCCP2	NA	NA
ENSG00000283773	ENSG00000283773	NA	NA
ENSG00000186301	MST1P2	NA	NA
ENSG00000282143	ENSG00000282143	NA	NA
ENSG00000207513	RNU1-3	NA	NA
ENSG00000280114	ENSG00000280114	NA	NA
ENSG00000236698	EIF1AXP1	NA	NA
ENSG00000268869	ESPNP	NA	NA
ENSG00000279151	ENSG00000279151	NA	NA
ENSG00000282740	ENSG00000282740	NA	NA
ENSG00000058453	CROCC	NA	NA
ENSG00000227684	CROCCP4	NA	NA
ENSG00000207389	RNU1-4	NA	NA
ENSG00000186715	MST1L	NA	NA
ENSG00000223643	ENSG00000223643	NA	NA
ENSG00000230239	PDE4DIPP9	NA	NA
ENSG00000263811	MIR3675	NA	NA
ENSG00000228549	ENSG00000228549	NA	NA
ENSG00000277234	RNU1-5P	NA	NA
ENSG00000238142	ENSG00000238142	NA	NA
ENSG00000235241	ENSG00000235241	NA	NA
ENSG00000207005	RNU1-2	NA	NA
ENSG00000272426	ENSG00000272426	NA	NA
ENSG00000117122	MFAP2	NA	NA
ENSG00000286898	ENSG00000286898	NA	NA
ENSG00000226526	ENSG00000226526	NA	NA
ENSG00000159363	ATP13A2	NA	NA
ENSG00000288636	ENSG00000288636	NA	NA
ENSG00000117118	SDHB	NA	NA
ENSG00000117115	PADI2	NA	NA
ENSG00000204362	LINC02783	NA	NA
ENSG00000282843	ENSG00000282843	NA	NA
ENSG00000142623	PADI1	NA	NA
ENSG00000142619	PADI3	NA	NA
ENSG00000266634	MIR3972	NA	NA
ENSG00000159339	PADI4	NA	NA
ENSG00000276747	PADI6	NA	NA
ENSG00000227751	RCC2-AS1	NA	NA
ENSG00000179051	RCC2	NA	NA
ENSG00000074964	ARHGEF10L	NA	NA
ENSG00000236648	LINC02810	NA	NA
ENSG00000117148	ACTL8	NA	NA
ENSG00000284653	ENSG00000284653	NA	NA
ENSG00000261781	LINC01654	NA	NA
